session_id,target
1,0.0003237319766168666
2,2.770957653098837e-06
3,8.90573348898718e-07
4,6.02556669538747e-07
5,0.0001944487041961579
6,6.91085578264818e-05
7,0.0028994977067871397
8,0.0018193714315498228
9,0.00013066164838610939
10,0.0031256162046605527
11,0.00012156329318647502
12,1.607345148298819e-05
13,7.795112882559997e-05
14,0.022159995688333628
15,0.0008923678637278107
16,0.0003664743636960096
17,0.020805263718131274
18,1.421829808341038e-05
19,0.0024508603718281967
20,1.983708194357655e-06
21,0.034718078375096495
22,3.2188612827053214e-05
23,0.00026267141828502355
24,0.011728277595283623
25,0.07968481277541865
26,9.762478778328136e-06
27,0.00013760140058473056
28,8.043742021877911e-07
29,0.020545643934679187
30,0.0015170643318079167
31,0.027857340948378332
32,0.017187124138344244
33,0.00012650706790390373
34,1.592677401040359e-05
35,0.01901246627933825
36,0.0006265486722702372
37,7.739662748796701e-08
38,2.786460659876199e-06
39,0.00041185916504124677
40,1.0955487660263095e-05
41,0.0017412230863513662
42,0.006543122774530115
43,9.69480334120967e-05
44,0.00011061588039379073
45,0.1410955118497186
46,0.00022936066365599898
47,0.00034940481836826464
48,6.453501911684079e-05
49,0.00024854503672822975
50,7.812252668994555e-06
51,2.3067297084073509e-07
52,0.00010932155960275909
53,0.022818499259306017
54,0.0007568211772519568
55,0.0003896923837225131
56,0.019866502040901655
57,1.5342357227995543e-06
58,1.7797639208544974e-05
59,2.078545334912558e-05
60,2.5817207539616187e-06
61,8.307491786658074e-06
62,0.00023910119210671964
63,1.4261001045674018e-05
64,0.0005744629616250803
65,1.0897728062788978e-05
66,5.922145918445198e-06
67,0.00015769101108628974
68,0.0016686150343049007
69,0.05686244279510642
70,4.679000239085047e-05
71,0.0016116325352649452
72,0.0005303184585638705
73,0.17316288974269525
74,7.138399703857115e-05
75,0.00021331458411111092
76,0.002324719927806281
77,0.0018184985403978738
78,0.004853573829148464
79,0.00013926103575916972
80,8.700652533099254e-06
81,1.2335217898898286e-05
82,0.0015145290628675583
83,1.18208824100582e-06
84,0.4810595428929974
85,0.00015100578347565605
